,idTurma,matricula,ano,idAluno,notaProva1,questoesFeitasProva1,quantidadeProva1,tituloProva1,notaProva2,questoesFeitasProva2,quantidadeProva2,tituloProva2,mediaProvas,situacao,qsub1,qsub2,qsub3,qsub4,qsub5,qsubp1,qsubp2,totalsub,igualACeml123,igualACeml45
96,5add8153651f043c57723142,2016018995.0,2018.1,5aa66f19f9299004205227a3,6.6,5.0,5.0,Prova 1 - Turma 2A e 2B,0.0,3.0,5.0,Prova 02 - Turmas 3A e 3B - 2018.1,3.3,0,9,12,7,4,11,28,15,43,28,15
97,5add8153651f043c57723142,2016018995.0,2018.1,5aa66f19f9299004205227a3,6.6,5.0,5.0,Prova 1 - Turma 2A e 2B,0.0,3.0,5.0,Prova 02 - Turmas 3A e 3B - 2018.1,3.3,0,9,12,7,4,11,28,15,43,28,15
98,5ae078b65c7ccb1a0c9f6042,2016018995.0,2018.1,5aa66f19f9299004205227a3,6.6,5.0,5.0,Prova 1 - Turma 2A e 2B,0.0,3.0,5.0,Prova 02 - Turmas 3A e 3B - 2018.1,3.3,0,9,12,7,4,11,28,15,43,28,15
99,5ae078b65c7ccb1a0c9f6042,2016018995.0,2018.1,5aa66f19f9299004205227a3,6.6,5.0,5.0,Prova 1 - Turma 2A e 2B,0.0,3.0,5.0,Prova 02 - Turmas 3A e 3B - 2018.1,3.3,0,9,12,7,4,11,28,15,43,28,15
100,5add8153651f043c57723142,2015011210.0,2018.1,5a9d3c946e994c04109f0383,25.0,3.0,5.0,Prova 1 - Turma 2A e 2B,60.0,4.0,5.0,Prova 2 - Turmas 2A e 2B - 2018.1,42.5,0,7,9,8,13,7,24,20,44,19,20
101,5add8153651f043c57723142,20170118360.0,2018.1,5aa66f13f9299004205227a2,78.2,5.0,5.0,Prova 1 - Turma 2A e 2B,100.0,5.0,5.0,Prova 2 - Turmas 2A e 2B - 2018.1,89.1,1,7,13,12,7,5,32,12,44,32,12
102,5add8153651f043c57723142,20180088012.0,2018.1,5aa68f73baa69604102c7428,20.0,3.0,5.0,Prova 1 - Turma 2A e 2B,0.0,0.0,0.0,0,10.0,0,63,57,23,12,56,143,68,211,74,30
103,5add8502651f043c57723147,20170117620.0,2018.1,5a9d5355e293ba040bc7da3f,90.0,5.0,5.0,Prova 1 - Turma 2C e 2D,100.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,95.0,1,8,13,11,6,8,32,14,46,32,14
104,5add8502651f043c57723147,20170116140.0,2018.1,5aa694cb6a77db040b660ff8,80.0,5.0,5.0,Prova 1 - Turma 2C e 2D,50.0,5.0,5.0,Prova 2 - Turma 1 AB,65.0,1,23,24,23,28,11,70,39,109,62,38
105,5b8037188d6212588658e570,20170116140.0,2018.2,5aa694cb6a77db040b660ff8,72.0,5.0,5.0,Prova 1 - Turma 1 AB,50.0,5.0,5.0,Prova 2 - Turma 1 AB,61.0,1,23,24,23,28,11,70,39,109,62,38
